     ROW    time                 energy
   306 373675585.4867801070      1382.8927001953
   307 373675585.4867801070      1247.6773681641
   308 373675585.4867801070      1464.4161376953
   309 373675585.4867801070      2419.2758789062
   310 373675585.4867801070      2432.5417480469
   311 373675585.4867801070      1863.7182617188
   312 373675588.5278002024      1406.6845703125
   313 373675588.5278002024      1901.5263671875
   314 373675588.5278002024      2164.7082519531
   315 373675588.5278002024      2552.9162597656
   316 373675588.5278002024      2548.0996093750
   317 373675588.5278002024      1786.7829589844
   318 373675588.5278002024      2452.1743164062
   319 373675588.5278002024      2991.0534667969
   320 373675588.5278002024      3291.5729980469
   321 373675588.5278002024      1688.4501953125
   322 373675588.5278002024      2455.1569824219
   323 373675591.5688104033      1764.2337646484
   324 373675591.5688104033      1816.5471191406
   325 373675591.5688104033      1690.7716064453
   326 373675591.5688104033      1790.1281738281
   327 373675591.5688104033      1812.4189453125
   328 373675591.5688104033      1899.1306152344
   329 373675591.5688104033      2626.1176757812
   330 373675591.5688104033      1333.4301757812
   331 373675591.5688104033      1786.5223388672
   332 373675594.6098304987      1918.8802490234
   333 373675594.6098304987      1939.1330566406
   334 373675594.6098304987      1855.6947021484
   335 373675594.6098304987      1349.9942626953
   336 373675594.6098304987      1851.7015380859
   337 373675594.6098304987      2532.3469238281
   338 373675597.6508406997      2494.8332519531
   339 373675597.6508406997      1118.2612304688
   340 373675597.6508406997      1952.2480468750
   341 373675597.6508406997        4257.10156250
   342 373675597.6508406997      3069.7602539062
   343 373675597.6508406997      2986.5126953125
   344 373675597.6508406997      3906.3879394531
   345 373675597.6508406997      1321.3597412109
   346 373675597.6508406997      2457.2590332031
   347 373675597.6508406997      1826.5443115234
   348 373675597.6508406997      1930.0969238281
   349 373675597.6508406997      2363.1892089844
   350 373675600.6918608546      2531.9528808594
   351 373675600.6918608546       658.3339843750
   352 373675600.6918608546      1384.6052246094
   353 373675600.6918608546      1935.1809082031
   354 373675600.6918608546      3113.6625976562
   355 373675600.6918608546      1969.4284667969
   356 373675600.6918608546      1908.6411132812
   357 373675600.6918608546      1896.9536132812
   358 373675600.6918608546      3842.3513183594
   359 373675603.7328710556      1881.1933593750
   360 373675603.7328710556      1937.6119384766
   361 373675603.7328710556      1892.1496582031
   362 373675603.7328710556      1303.0125732422
   363 373675603.7328710556      3661.6711425781
   364 373675606.7738910913      1562.1322021484
   365 373675606.7738910913      1818.8952636719
   366 373675606.7738910913      1196.9372558594
   367 373675606.7738910913          2958.531250
   368 373675606.7738910913      1644.3399658203
   369 373675606.7738910913      1810.8604736328
   370 373675606.7738910913      1838.9340820312
   371 373675606.7738910913      1813.7761230469
   372 373675606.7738910913      1985.1816406250
   373 373675606.7738910913      3069.2912597656
   374 373675606.7738910913      1883.4906005859
   375 373675606.7738910913      1853.5861816406
   376 373675609.8149013519      2034.2700195312
   377 373675609.8149013519      1768.6682128906
   378 373675609.8149013519      1974.9232177734
   379 373675609.8149013519      1680.4820556641
   380 373675609.8149013519      1635.5605468750
   381 373675609.8149013519      2450.1044921875
   382 373675609.8149013519      1974.6315917969
   383 373675609.8149013519      1193.9743652344
   384 373675609.8149013519      2548.5905761719
   385 373675612.8559214473      1937.6286621094
   386 373675612.8559214473      1917.7971191406
   387 373675612.8559214473      1496.9526367188
   388 373675612.8559214473      2079.7475585938
   389 373675612.8559214473      1771.3040771484
   390 373675612.8559214473      2191.8229980469
   391 373675612.8559214473      1924.2359619141
   392 373675612.8559214473      1714.0599365234
   393 373675612.8559214473      1735.6206054688
   394 373675615.8969316483      1877.1341552734
   395 373675615.8969316483       1889.089843750
   396 373675615.8969316483      1844.1719970703
   397 373675615.8969316483      1854.6177978516
   398 373675615.8969316483      1893.9497070312
   399 373675615.8969316483      1933.6732177734
   400 373675615.8969316483      2513.2900390625
   401 373675615.8969316483      1344.1270751953
   402 373675615.8969316483      1296.2355957031
   403 373675615.8969316483      1921.3708496094
   404 373675615.8969316483      2067.8442382812
   405 373675615.8969316483      2485.9770507812
   406 373675618.9379517436      1834.9995117188
   407 373675618.9379517436       736.4613037109
   408 373675618.9379517436      1905.7008056641
